transaction_date,description,transaction_type,amount,external_id
2026-07-01 09:00:00,SALARY PROJECT JULY,income,1200000,VIDEO-DEMO-BANK-0001
2026-07-02 12:15:00,NUSANTARA BENTO LAB,expense,68000,VIDEO-DEMO-BANK-0002
2026-07-03 07:40:00,METROSWIFT RIDE,expense,32000,VIDEO-DEMO-BANK-0003
2026-07-04 06:00:00,SAGARA INTERNET JULY,expense,285000,VIDEO-DEMO-BANK-0004
2026-07-05 10:20:00,PIXELNEST SUPPLIES,expense,460000,VIDEO-DEMO-BANK-0005
2026-07-06 11:30:00,AURORA WORKSPACE,expense,650000,VIDEO-DEMO-BANK-0006
2026-07-07 15:10:00,NOVA HUB SERVICE 0726,expense,155000,VIDEO-DEMO-BANK-0007
2026-07-08 16:45:00,AKADEMI DIGITAL MERAH PUTIH,expense,300000,VIDEO-DEMO-BANK-0008
2026-07-09 13:25:00,CIPTA KARYA PRINTING,expense,125000,VIDEO-DEMO-BANK-0009
2026-07-10 09:05:00,QRIS KOPI LANGIT SELATAN JKT 10010,expense,42000,VIDEO-DEMO-BANK-0010
2026-07-11 14:00:00,SALES ORDER LOKAFI,income,900000,VIDEO-DEMO-BANK-0011
2026-07-12 10:30:00,PIXELNEST SUPPLIES BULK ORDER,expense,1250000,VIDEO-DEMO-BANK-0012
